,id,name,custom,orderable,navigable,searchable,clauseNames,schema
71,customfield_12310620,Evidence Of Use On World Wide Web,True,True,True,True,"['cf[12310620]', 'Evidence Of Use On World Wide Web']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12310620}"
72,customfield_12312920,Protected Branch,True,True,True,True,"['cf[12312920]', 'Protected Branch']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12312920}"
73,customfield_12312921,GitHub Options,True,True,True,True,"['cf[12312921]', 'GitHub Options']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12312921}"
74,customfield_12311037,Priority,True,True,True,True,['cf[12311037]'],"{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 12311037}"
75,customfield_12311038,Status Whiteboard,True,True,True,True,"['cf[12311038]', 'Status Whiteboard']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 12311038}"
76,watches,Watchers,False,False,True,False,['watchers'],"{'type': 'watches', 'system': 'watches'}"
77,customfield_12310192,Release Note,True,True,True,True,"['cf[12310192]', 'Release Note']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 12310192}"
78,customfield_12310191,Hadoop Flags,True,True,True,True,"['cf[12310191]', 'Hadoop Flags']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 12310191}"
79,customfield_10022,Reviewer,True,True,True,True,"['cf[10022]', 'Reviewer']","{'type': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:userpicker', 'customId': 10022}"
80,customfield_10023,Fix priority,True,True,True,True,"['cf[10023]', 'Fix priority']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 10023}"
