,id,key,name,untranslatedName,custom,orderable,navigable,searchable,clauseNames,schema
216,customfield_16080,customfield_16080,Development,development,True,True,True,True,"['cf[16080]', 'development']","{'type': 'any', 'custom': 'com.atlassian.jira.plugins.jira-development-integration-plugin:devsummarycf', 'customId': 16080}"
217,customfield_20335,customfield_20335,Opt-Out of Customer Retention Concession,Opt-Out of Customer Retention Concession,True,True,True,True,"['Opt-Out of Customer Retention Concession', 'cf[20335]', 'Opt-Out of Customer Retention Concession[Checkboxes]']","{'type': 'array', 'items': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes', 'customId': 20335}"
218,customfield_20214,customfield_20214,Overall Time to Approved,Overall Time to Approved,True,True,True,True,"['Overall Time to Approved', 'cf[20214]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20214}"
219,customfield_19343,customfield_19343,Product categorization,Product categorization,True,True,True,True,"['Product categorization[Select List (cascading)]', 'Product categorization', 'cf[19343]']","{'type': 'option-with-child', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect', 'customId': 19343}"
220,customfield_20211,customfield_20211,Overall Time to Approve,Overall Time to Approve,True,True,True,True,"['cf[20211]', 'Overall Time to Approve']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20211}"
221,customfield_19101,customfield_19101,SEN / Entitlement ID,SEN / Entitlement ID,True,True,True,True,"['SEN / Entitlement ID[Paragraph]', 'cf[19101]', 'SEN / Entitlement ID']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19101}"
222,customfield_19344,customfield_19344,Operational categorization,Operational categorization,True,True,True,True,"['Operational categorization[Select List (cascading)]', 'cf[19344]', 'Operational categorization']","{'type': 'option-with-child', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect', 'customId': 19344}"
223,customfield_19586,customfield_19586,Bugcrowd Reward Pool,Bugcrowd Reward Pool,True,True,True,True,"['cf[19586]', 'Bugcrowd Reward Pool', 'Bugcrowd Reward Pool[Radio Buttons]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 19586}"
224,customfield_20212,customfield_20212,Time to Approve,Time to Approve,True,True,True,True,"['cf[20212]', 'Time to Approve']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 20212}"
225,customfield_19465,customfield_19465,DC app ready for review?,DC app ready for review?,True,True,True,True,"['cf[19465]', 'DC app ready for review?', 'DC app ready for review?[Radio Buttons]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons', 'customId': 19465}"
226,customfield_19345,customfield_19345,Source,Source,True,True,True,True,"['Source[Dropdown]', 'Source', 'cf[19345]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19345}"
227,customfield_19466,customfield_19466,TtFR - App reviews,TtFR - App reviews,True,True,True,True,"['TtFR - App reviews', 'cf[19466]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19466}"
228,customfield_19346,customfield_19346,Investigation reason,Investigation reason,True,True,True,True,"['Investigation reason', 'Investigation reason[Dropdown]', 'cf[19346]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19346}"
229,customfield_19588,customfield_19588,Artifact Scanned,Artifact Scanned,True,True,True,True,"['Artifact Scanned[Short text]', 'cf[19588]', 'Artifact Scanned']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19588}"
230,customfield_19581,customfield_19581,Submission Created On,Submission Created On,True,True,True,True,"['Submission Created On[Date]', 'cf[19581]', 'Submission Created On']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 19581}"
231,customfield_19340,customfield_19340,Change managers,Change managers,True,True,True,True,"['cf[19340]', 'Change managers[User Picker (multiple users)]', 'Change managers']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 19340}"
232,customfield_19582,customfield_19582,Submission Closed On,Submission Closed On,True,True,True,True,"['Submission Closed On', 'Submission Closed On[Date]', 'cf[19582]']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 19582}"
233,customfield_19341,customfield_19341,CAB,CAB,True,True,True,True,"['CAB[User Picker (multiple users)]', 'CAB', 'cf[19341]']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 19341}"
234,customfield_19583,customfield_19583,Bugcrowd Program Code,Bugcrowd Program Code,True,True,True,True,"['Bugcrowd Program Code', 'Bugcrowd Program Code[Labels]', 'cf[19583]']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 19583}"
235,customfield_19342,customfield_19342,Pending reason,Pending reason,True,True,True,True,"['Pending reason', 'cf[19342]', 'Pending reason[Dropdown]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19342}"
236,customfield_19584,customfield_19584,Marketplace App Key,Marketplace App Key,True,True,True,True,"['Marketplace App Key[Labels]', 'Marketplace App Key', 'cf[19584]']","{'type': 'array', 'items': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:labels', 'customId': 19584}"
237,customfield_19100,customfield_19100,Partner / Vendor Name,Partner / Vendor Name,True,True,True,True,"['Partner / Vendor Name[Short text]', 'cf[19100]', 'Partner / Vendor Name']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19100}"
238,customfield_19347,customfield_19347,Root cause,Root cause,True,True,True,True,"['Root cause[Paragraph]', 'Root cause', 'cf[19347]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19347}"
239,customfield_19589,customfield_19589,Scan Timestamp,Scan Timestamp,True,True,True,True,"['cf[19589]', 'Scan Timestamp[Time stamp]', 'Scan Timestamp']","{'type': 'datetime', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datetime', 'customId': 19589}"
240,customfield_19468,customfield_19468,Time in Waiting for Customer,Time in Waiting for Customer,True,True,True,True,"['cf[19468]', 'Time in Waiting for Customer']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19468}"
241,customfield_19348,customfield_19348,Workaround,Workaround,True,True,True,True,"['cf[19348]', 'Workaround', 'Workaround[Paragraph]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textarea', 'customId': 19348}"
242,customfield_19107,customfield_19107,App Link,App Link,True,True,True,True,"['cf[19107]', 'App Link', 'App Link[Short text]']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19107}"
243,customfield_19349,customfield_19349,Time to close after resolution,Time to close after resolution,True,True,True,True,"['Time to close after resolution', 'cf[19349]']","{'type': 'sd-servicelevelagreement', 'custom': 'com.atlassian.servicedesk:sd-sla-field', 'customId': 19349}"
244,customfield_19580,customfield_19580,Reward,Reward,True,True,True,True,"['Reward[Number]', 'cf[19580]', 'Reward']","{'type': 'number', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:float', 'customId': 19580}"
245,customfield_18001,customfield_18001,Change type,Change type,True,True,True,True,"['cf[18001]', 'Change type[Dropdown]', 'Change type']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 18001}"
246,customfield_19574,customfield_19574,Hosting,Hosting,True,True,True,True,"['cf[19574]', 'Hosting[Dropdown]', 'Hosting']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 19574}"
247,customfield_18002,customfield_18002,Change risk,Change risk,True,True,True,True,"['Change risk', 'cf[18002]', 'Change risk[Dropdown]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 18002}"
248,customfield_19333,customfield_19333,App Name,App Name,True,True,True,True,"['cf[19333]', 'App Name[Short text]', 'App Name']","{'type': 'string', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:textfield', 'customId': 19333}"
249,customfield_19575,customfield_19575,Triaged Date,Triaged Date,True,True,True,True,"['cf[19575]', 'Triaged Date[Date]', 'Triaged Date']","{'type': 'date', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:datepicker', 'customId': 19575}"
250,customfield_19454,customfield_19454,CC - Old,CC - Old,True,True,True,True,"['cf[19454]', 'CC - Old', 'CC - Old[User Picker (multiple users)]']","{'type': 'array', 'items': 'user', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker', 'customId': 19454}"
251,customfield_18003,customfield_18003,Change reason,Change reason,True,True,True,True,"['Change reason', 'cf[18003]', 'Change reason[Dropdown]']","{'type': 'option', 'custom': 'com.atlassian.jira.plugin.system.customfieldtypes:select', 'customId': 18003}"
